cultural,dijkstra,genetico
0.2858745745997664,0.2636184909414242,0.2858745745997664
0.36424011453841965,0.3877606421291563,0.36424011453841965
0.43537172913783406,0.4530073617560699,0.43537172913783406
0.540112268271757,0.6144660272963012,0.540112268271757
0.6100998361456387,0.6856706810067117,0.6100998361456387
0.7182303394138578,0.7585041154679506,0.7040193621894659
0.7788390909202328,0.8123993881762165,0.763241668251835
0.8103103269575342,0.8561258980119415,0.7959434781782847
0.8418212507307108,0.9163701514919911,0.8313787076413977
0.8890130875331335,1.0423070812497517,0.860614429973099
0.8886706676376128,1.0754928642134387,0.8589629746869867
0.9854441486608312,1.1608359476698666,0.9385675290001815
1.1149929227834332,1.356875588737482,1.0775387357065416
1.2256589280024879,1.4285627706231145,1.1838994099952127
1.236976049779167,1.448673478196026,1.2217492312626634
1.2521156608903001,1.5329075588863503,1.2595002367719395
1.2800011991420925,1.5758546721469187,1.2948593363659335
1.3501427590463146,1.7690562976035866,1.3961569033247296
1.4022306473300632,1.8502792513002484,1.4598212351642113
1.483722569960567,1.9587830060040825,1.5839440413013415
