Fitness Cultural,Fitness Genético,Fitness SPF
0.4091150840731497,0.4091150840731497,0.38981795501500804
0.4529190633633769,0.4529190633633769,0.35515147210285186
0.47750931143157294,0.47750931143157294,0.25674600118103164
0.46152071074189455,0.46152071074189455,0.2803240546071259
0.36061376462739575,0.36061376462739575,0.27116070339086457
0.19075778530211263,0.20372615130741253,0.22671367196798803
0.11186433093943664,0.1529905834295899,0.09981085842328787
0.17874858118313683,0.20200999949497497,0.14060940114456053
0.2073505779897361,0.21074149394645056,0.19927662584817113
0.1872343612499766,0.19001653143823508,0.10428344239643349
0.10372475598751153,0.10202520022445544,0.08075261436589011
0.05164675684190411,0.05067832943954835,0.03931876311035007
0.09137009456804789,0.09081827263645445,0.06967451550083784
0.13130769331775147,0.11692761011657682,0.08064743762928793
0.05887235883880159,0.05903867328293398,0.02798513989071803
0.06445396214618802,0.060862420498463216,0.04349651049244575
0.06178579482791111,0.06380134812248583,0.053793084898936236
0.15902169851076178,0.16833174820937102,0.13101352059532545
0.08873547511191761,0.09461185486541462,0.09718834128657927
0.035206742795380164,0.033276319905229036,0.02698115905663075
