cultural,dijkstra,genetico
0.2089159123704043,0.242483821926544,0.2089159123704043
0.31383312165345656,0.36103385773161417,0.31383312165345656
0.42397883431611527,0.46081766966483034,0.42397883431611527
0.5527813780764073,0.6217073684202656,0.541326298122455
0.5567173826600389,0.6484874068809023,0.5453449855337017
0.6123045733819205,0.6857180838977601,0.5711186627558689
0.8178371696364508,0.9032219699210444,0.7502608513909479
0.8845434523842478,0.9821241502114544,0.8215833887137627
0.8854498687841509,0.9841393365607503,0.8216602799116041
0.9135393264518096,1.0464447477363223,0.8530944480757464
0.9260305484288175,1.0900832638280078,0.8653333536776524
1.0823344755125917,1.2416235809951086,1.0070953744218163
1.1326146213604522,1.3201176905424443,1.0635713237551516
1.1715161315272493,1.3368282581854398,1.1037439797014852
1.2762695207558588,1.4178885449759533,1.205333275973426
1.295254078143764,1.4719396355096956,1.2304608955933607
1.307823819502131,1.4738127354656625,1.2397322363547472
1.3130266473394119,1.5277337090325283,1.241925652745788
1.3527333924941864,1.6035453091327225,1.2811248678204838
1.4279986948182402,1.7215478288296413,1.3533056084289294
1.453461414277038,1.7578598586895964,1.3728460521093426
1.5494339116040319,1.921703683305148,1.4578356933366097
1.602904011919794,1.9750833442878093,1.5085231239806751
1.728936929963672,2.0880391668591045,1.5881869165240539
1.8703837997698651,2.2391196391532007,1.7001627481302697
1.9456082879307786,2.3515830356807093,1.761876114503271
2.0841229759532194,2.4926536638664856,1.9058774820600028
2.174225249609378,2.6033237670406963,1.9977603433871616
2.1893262142500824,2.6600781122575494,2.009441695091954
2.344289804122836,2.79639793537812,2.1594439807896917
