Cultural,Genético,SPF,destino,origem
0.669,0.8850000000000001,0.6060000000000001,CMBR,NY54
1.686,2.101,1.623,CHCG,NY54
0.124,0.124,0.124,PHLA,NY54
0.598,0.6169999999999999,0.598,WASH,NY54
0.509,0.293,0.572,PHLA,CMBR
0.269,0.401,0.269,CLEV,CHCG
0.6719999999999999,0.323,0.735,PHLA,CHCG
0.876,2.9020000000000006,0.772,STLS,CHCG
0.274,0.20700000000000002,0.274,DNVR,CHCG
0.435,0.263,0.435,KSCY,CHCG
0.7829999999999999,0.40399999999999997,0.97,SNFN,CHCG
0.64,0.64,0.5569999999999999,STTL,CHCG
0.42100000000000004,0.441,0.42100000000000004,SLKC,CHCG
0.608,0.82,0.608,NSVL,CLEV
0.40800000000000003,0.211,0.40800000000000003,STLS,CLEV
0.718,0.601,0.718,PHLA,CLEV
0.963,1.104,0.963,ATLN,RLGH
0.304,0.163,0.304,WASH,RLGH
0.491,0.401,0.491,WASH,ATLN
0.138,0.138,0.2,NSVL,ATLN
0.6890000000000001,0.8049999999999999,0.552,STLS,ATLN
1.2250000000000003,1.6300000000000001,1.3000000000000003,DLLS,ATLN
0.8680000000000001,0.6520000000000001,0.8680000000000001,ORLD,ATLN
0.55,0.3,0.55,WASH,PHLA
0.259,0.122,0.259,STLS,NSVL
0.736,0.821,0.7979999999999998,DLLS,NSVL
0.5840000000000001,1.094,0.5840000000000001,DLLS,STLS
0.20900000000000002,0.114,0.20900000000000002,KSCY,STLS
1.784,1.9469999999999998,1.543,LA03,STLS
0.121,0.121,0.292,HSTN,NWOR
1.102,1.118,1.043,DLLS,NWOR
0.27,0.0,0.27,ORLD,NWOR
0.417,0.417,0.417,SNAN,HSTN
0.8510000000000001,1.0510000000000002,0.91,DLLS,HSTN
0.631,0.431,0.631,ORLD,HSTN
0.347,1.3470000000000002,0.347,PHNX,SNAN
1.235,1.7449999999999999,1.235,DLLS,SNAN
0.537,0.404,0.667,DNVR,DLLS
0.365,0.28099999999999997,0.365,KSCY,DLLS
2.361,1.682,2.231,SNFN,DLLS
0.9020000000000001,0.366,1.039,LA03,DLLS
0.0,0.0,0.0,KSCY,DNVR
0.163,0.066,0.29300000000000004,SNFN,DNVR
0.20400000000000001,0.16699999999999998,0.20400000000000001,SLKC,DNVR
0.45299999999999996,0.27,0.45299999999999996,SNFN,KSCY
1.0910000000000002,1.283,1.0910000000000002,SCRM,SNFN
0.9219999999999999,0.9219999999999999,0.9219999999999999,PTLD,SNFN
0.8229999999999998,0.8229999999999998,0.9059999999999999,STTL,SNFN
0.21200000000000002,0.0,0.21200000000000002,SLKC,SNFN
0.9879999999999999,0.534,1.0919999999999999,LA03,SNFN
0.261,0.069,0.261,SLKC,SCRM
0.0,0.0,0.0,STTL,PTLD
0.48200000000000004,0.117,0.48200000000000004,LA03,SLKC
0.854,0.854,1.112,SNDG,LA03
1.733,1.223,1.475,PHNX,LA03
0.28,0.28,0.538,PHNX,SNDG
