cultural,dijkstra,genetico
0.08047421140526138,0.07979330440940159,0.08047421140526138
0.10239192433405658,0.10036112553912756,0.10290961864854815
0.13185375605955632,0.13435228817427092,0.1443781009674287
0.15862057972308735,0.16176681048356603,0.1700140015242442
0.16284503728646804,0.16415869341395423,0.1765230568803679
0.17583163065177532,0.20018958465713146,0.18879415626962195
0.20148376557978012,0.24594023070234378,0.2139827452383492
0.22586083521300648,0.278975555764812,0.23382107433932212
0.24503708637938604,0.3086811640495109,0.25114667869748786
0.2650012000707941,0.32867231539801295,0.2693752174796482
0.2925660764526692,0.3667176764498532,0.2906827140710989
0.3408473779640017,0.4073462194895977,0.3415464824519858
0.3697210794955795,0.4417702108063016,0.3664921886625271
0.3782427997786813,0.4453830246387525,0.37278380585681414
0.38922157371034616,0.47680181158681384,0.37779118811610973
0.41196975010308706,0.5021403888653752,0.40116769819854897
0.40729740880685605,0.5245263314673511,0.3984829767909889
0.4221822093091357,0.5730452521738235,0.41587020952315296
0.4332962571135036,0.597818997060777,0.4266442829288166
0.45441062156051437,0.6165982018563365,0.43425842446725105
