,cultural,dijkstra,genetico
0,0.07538496655048792,0.08673230760113662,0.07538496655048792
1,0.102286756324954,0.11682402683846012,0.10371611948756299
2,0.1430913204007356,0.15975662903141302,0.14417328926559989
3,0.16573843322160747,0.17766257873597602,0.16121267714645543
4,0.2008683026263726,0.23454164127827384,0.18878154677456532
5,0.2162123505248498,0.2643018836752506,0.20491598531827876
6,0.2414285406900772,0.3236136926613614,0.23565799288458178
7,0.26146577586378666,0.36257948165813314,0.2538695339337516
8,0.2826195712931468,0.38250655880973794,0.2745015790175293
9,0.2865647588922285,0.39969492911924265,0.28083080824073214
10,0.30655827129813135,0.42587401001070424,0.29909416436273734
11,0.3199761917888397,0.44252835810518715,0.31213874703823197
12,0.3466021780156536,0.4673396575505663,0.3364474351564842
13,0.3602451217258503,0.4866267186578316,0.3499109627007731
14,0.3816963125313107,0.5207906922458102,0.3699470232344085
15,0.380274849337898,0.5387361566004006,0.3729923643938357
16,0.3913688759698733,0.5532707138392632,0.390111550813254
17,0.4022166046770348,0.5937573444521836,0.40097959270545647
18,0.4193868560946266,0.641247391326559,0.42530629718894525
19,0.42948377953435785,0.661874436830635,0.4315214728069815
20,0.45011382362773444,0.6933948311626768,0.4502209670326829
21,0.47145799829448665,0.7007623038473935,0.4668373447931372
22,0.4833368901197687,0.7145517276086956,0.4806208481488549
23,0.492952614882486,0.7303465995809665,0.49709881429030905
24,0.4983661656502527,0.74610360666808,0.503989490459381
25,0.5141701825498798,0.7611667699153561,0.5167757633736219
26,0.5390777571433951,0.7952355617685233,0.536758072362916
27,0.5680794298655459,0.8372394805115635,0.5653818313845435
28,0.5842796961316458,0.8837275905055694,0.5799683306960731
29,0.5962214786665914,0.9077439751111817,0.5869937119400368
