Cultural,Genético,SPF,ciclo,destino,origem
0.8480000000000001,0.8480000000000001,1.296,0,BE,NL
0.73,0.73,0.73,0,DK,NL
0.8480000000000001,0.8480000000000001,0.8480000000000001,0,DE,NL
0.449,0.449,0.001,0,UK,NL
0.001,0.001,0.001,0,LT,NL
0.001,0.001,0.449,0,IE,BE
0.001,0.001,0.001,0,IS,DK
0.8460000000000001,0.8460000000000001,0.8460000000000001,0,NO,DK
0.73,0.73,0.73,0,DE,DK
0.6140000000000001,0.6140000000000001,0.6140000000000001,0,EE,DK
0.001,0.001,0.001,0,SE,DK
0.001,0.001,0.001,0,RU,DK
0.001,0.001,0.001,0,UA,PL
0.001,0.001,0.001,0,BY,PL
0.765,0.765,0.451,0,DE,PL
0.001,0.001,0.315,0,CZ,PL
0.315,0.315,0.315,0,LT,PL
0.001,0.001,0.001,0,CZ,DE
0.001,0.001,0.001,0,LU,DE
0.001,0.001,0.001,0,CH,DE
0.001,0.001,0.001,0,CY,DE
0.001,0.001,0.001,0,IL,DE
1.868,1.868,1.554,0,AT,DE
0.001,0.001,0.001,0,RU,DE
0.001,0.001,0.315,0,SK,CZ
0.001,0.001,0.001,0,FR,LU
0.372,0.372,0.372,0,CH,FR
0.001,0.001,0.001,0,ES,FR
0.001,0.001,0.001,0,UK,FR
0.372,0.372,0.372,0,IT,CH
0.001,0.001,0.001,0,ES,CH
0.387,0.387,0.387,0,ES,IT
0.387,0.387,0.387,0,MT,IT
0.001,0.001,0.001,0,AT,IT
0.372,0.372,0.372,0,GR,IT
0.001,0.001,0.001,0,RO,MD
0.001,0.001,0.001,0,HU,BG
0.428,0.428,0.428,0,MK,BG
0.001,0.001,0.001,0,RO,BG
0.001,0.001,0.001,0,TR,BG
0.428,0.428,0.428,0,GR,BG
0.001,0.001,0.001,0,TR,RO
0.001,0.001,0.001,0,HU,RO
0.76,0.76,0.76,0,AT,GR
0.001,0.001,0.001,0,UK,CY
0.001,0.001,0.001,0,LT,IL
0.398,0.398,0.398,0,HR,ME
0.001,0.001,0.001,0,RS,HU
0.001,0.001,0.315,0,HR,HU
0.001,0.001,0.315,0,SK,HU
0.001,0.001,0.001,0,AT,SK
0.387,0.387,0.387,0,ES,PT
0.001,0.001,0.001,0,UK,PT
0.712,0.712,0.398,0,SL,HR
1.109,1.109,0.795,0,AT,SL
0.315,0.315,0.315,0,LV,LT
0.001,0.001,0.001,0,UK,IS
0.449,0.449,0.001,0,UK,IE
0.001,0.001,0.001,0,SE,NO
0.001,0.001,0.001,0,FI,SE
0.001,0.001,0.001,0,LV,EE
0.8480000000000001,0.8480000000000001,1.296,1,BE,NL
0.73,0.73,0.73,1,DK,NL
0.8480000000000001,0.8480000000000001,0.8480000000000001,1,DE,NL
1.281,1.281,0.833,1,UK,NL
