cultural,dijkstra,genetico
0.25424285214898856,0.25376838758111525,0.25424285214898856
0.45648130397018116,0.40174940058986636,0.45648130397018116
0.6169388093932162,0.5725022805213843,0.6169388093932162
0.8238850982942081,0.7875365315492293,0.8168740293224046
0.9190728352544929,0.9153718059725234,0.8868156769074073
1.2763139683877316,1.262658340879412,1.2196590939539134
1.3361062940356763,1.3421958602686883,1.2747385348534959
1.5177798180092803,1.5409460719704993,1.4585382575146528
1.6804852972954656,1.6758967191073422,1.5918331169224829
1.7688858845831734,1.772268323780406,1.6799679729577983
1.8902751486767524,1.9040504840737915,1.7986455597829096
2.0318739136799056,2.033030272138537,1.947106269184419
2.1442019973557715,2.174895964222486,2.0618173620440365
2.276474624348039,2.330383318571305,2.191658349087668
2.405979616786776,2.4487523682892447,2.3256314231609103
2.469201657114555,2.491862405199791,2.4009535180066304
2.624695960950848,2.6411450115681165,2.5486235734462004
2.6881029877364435,2.6911860232015563,2.6172723936406888
2.6899949068552345,2.697854197816775,2.6176451440178057
2.843668290893626,2.8639696956298852,2.766080393376691
