Cultural,Genético,SPF,destino,origem
0.781,1.38,0.922,CMBR,NY54
1.7120000000000004,2.572,1.7120000000000004,CHCG,NY54
0.24,0.099,0.381,PHLA,NY54
0.7430000000000001,1.327,0.7430000000000001,WASH,NY54
0.816,0.21700000000000003,0.6749999999999999,PHLA,CMBR
0.52,0.781,0.52,CLEV,CHCG
1.6889999999999998,1.1129999999999998,1.6889999999999998,PHLA,CHCG
0.8679999999999999,2.3259999999999996,0.8679999999999999,STLS,CHCG
0.436,0.075,0.20700000000000002,DNVR,CHCG
0.399,0.189,0.399,KSCY,CHCG
1.378,1.2690000000000001,1.378,SNFN,CHCG
0.558,0.628,0.558,STTL,CHCG
0.8150000000000001,0.5920000000000001,1.044,SLKC,CHCG
0.795,1.1219999999999999,0.795,NSVL,CLEV
0.397,0.133,0.397,STLS,CLEV
0.5559999999999999,0.358,0.5559999999999999,PHLA,CLEV
0.7130000000000001,0.7130000000000001,0.8629999999999999,ATLN,RLGH
0.298,0.298,0.44799999999999995,WASH,RLGH
1.176,1.09,1.026,WASH,ATLN
0.556,0.47,0.492,NSVL,ATLN
0.7679999999999999,0.858,0.844,STLS,ATLN
1.2400000000000002,1.46,1.2280000000000002,DLLS,ATLN
1.1800000000000002,1.192,1.1800000000000002,ORLD,ATLN
0.859,0.43899999999999995,0.859,WASH,PHLA
0.419,0.257,0.419,STLS,NSVL
0.353,0.40599999999999997,0.289,DLLS,NSVL
0.487,0.9299999999999999,0.487,DLLS,STLS
0.2,0.137,0.2,KSCY,STLS
0.6499999999999999,1.2640000000000002,0.726,LA03,STLS
0.577,0.44599999999999995,0.497,HSTN,NWOR
0.892,1.0230000000000001,0.972,DLLS,NWOR
0.0,0.0,0.0,ORLD,NWOR
0.40700000000000003,0.40700000000000003,0.40700000000000003,SNAN,HSTN
1.036,0.893,0.956,DLLS,HSTN
0.367,0.057,0.367,ORLD,HSTN
0.266,0.583,0.19,PHNX,SNAN
1.158,1.2489999999999999,1.082,DLLS,SNAN
0.5800000000000001,0.386,0.598,DNVR,DLLS
0.589,0.192,0.589,KSCY,DLLS
1.366,1.24,1.3479999999999999,SNFN,DLLS
0.745,0.29500000000000004,0.745,LA03,DLLS
0.0,0.0,0.0,KSCY,DNVR
0.377,0.074,0.395,SNFN,DNVR
0.369,0.245,0.14,SLKC,DNVR
0.058,0.058,0.058,SNFN,KSCY
0.829,1.089,0.7119999999999999,SCRM,SNFN
1.358,1.4820000000000002,1.358,PTLD,SNFN
0.697,0.503,0.697,STTL,SNFN
0.168,0.11,0.28500000000000003,SLKC,SNFN
1.2180000000000002,0.8819999999999999,1.2180000000000002,LA03,SNFN
0.26,0.0,0.377,SLKC,SCRM
0.124,0.0,0.124,STTL,PTLD
0.649,0.08,0.649,LA03,SLKC
1.358,1.266,1.266,SNDG,LA03
0.8069999999999998,0.8079999999999999,0.975,PHNX,LA03
0.092,0.0,0.0,PHNX,SNDG
