,cultural,dijkstra,genetico
0,0.04638494703767928,0.04638494703767928,0.04638494703767928
1,0.07441115813199964,0.07884554809591633,0.07441115813199964
2,0.12044361589718904,0.11276141777071774,0.11756336644495227
3,0.13667152654752623,0.14186593154266297,0.134042258068312
4,0.1379461110196824,0.1419184224699656,0.1368957691945833
5,0.1453470142295828,0.16528292547793755,0.14599864347350594
6,0.15090222924863564,0.1823323415968977,0.15027287625404107
7,0.16369593982223785,0.19537338793777856,0.15997358446716362
8,0.18667784511597207,0.23005920116126855,0.1830321870423519
9,0.19123524304326903,0.25387128091363004,0.1871687584930887
10,0.21685120804037827,0.2875920897120348,0.2022693965142373
11,0.22589852839244023,0.29739645966416484,0.2096308931518357
12,0.25218658251897025,0.32168765150355105,0.23705881715769989
13,0.25128057415576704,0.34690480701464793,0.23430898611454484
14,0.28653118356619434,0.3732010073447242,0.2674362789744284
15,0.3070043989489824,0.41346961092182355,0.283378017803121
16,0.32107931617082913,0.44809227945713476,0.2913310067937852
17,0.3464353596871405,0.48349730119178563,0.31885109041234727
18,0.3630086789238323,0.5164502185562063,0.3369166743492305
19,0.3772391986353128,0.5261680981706014,0.3493871512999676
20,0.39981302082770714,0.55761663010426,0.37301044169083203
21,0.41000891342860957,0.5809222761343301,0.38310965801573715
22,0.4353810914649312,0.6072279220775749,0.4038518626279343
23,0.45306338967625165,0.6310663115793693,0.4214217274923036
24,0.4742243588560878,0.6547523451210835,0.4422442349106298
25,0.49364360632437554,0.6822441918680308,0.45728862940643467
26,0.4908360479569792,0.6854382463872217,0.45635157755579453
27,0.523928601262404,0.7117775042697091,0.491664592408861
28,0.5696105242625432,0.7729621208440555,0.5371512396157895
29,0.5719478758831724,0.7816974827549688,0.5389521913958507
