Cultural,Genético,SPF,ciclo,destino,origem
0.435,0.435,0.74,0,BE,NL
0.001,0.001,0.306,0,DK,NL
0.8280000000000001,0.8280000000000001,0.8280000000000001,0,DE,NL
0.394,0.394,0.394,0,UK,NL
0.001,0.001,0.001,0,LT,NL
0.001,0.001,0.306,0,IE,BE
0.306,0.306,0.001,0,IS,DK
0.001,0.001,0.001,0,NO,DK
0.369,0.369,0.369,0,DE,DK
0.001,0.001,0.001,0,EE,DK
0.306,0.306,0.306,0,SE,DK
0.001,0.001,0.001,0,RU,DK
0.001,0.001,0.001,0,UA,PL
0.394,0.394,0.394,0,BY,PL
0.394,0.394,0.394,0,DE,PL
0.001,0.001,0.001,0,CZ,PL
0.001,0.001,0.001,0,LT,PL
0.34400000000000003,0.34400000000000003,0.34400000000000003,0,CZ,DE
0.776,0.776,0.776,0,LU,DE
0.369,0.369,0.712,0,CH,DE
0.001,0.001,0.001,0,CY,DE
0.001,0.001,0.001,0,IL,DE
1.119,1.119,0.776,0,AT,DE
0.001,0.001,0.001,0,RU,DE
0.001,0.001,0.001,0,SK,CZ
0.001,0.001,0.001,0,FR,LU
0.001,0.001,0.001,0,CH,FR
0.001,0.001,0.001,0,ES,FR
0.001,0.001,0.001,0,UK,FR
0.001,0.001,0.34400000000000003,0,IT,CH
0.001,0.001,0.001,0,ES,CH
0.001,0.001,0.001,0,ES,IT
0.001,0.001,0.001,0,MT,IT
0.34400000000000003,0.34400000000000003,0.001,0,AT,IT
0.001,0.001,0.001,0,GR,IT
0.43,0.43,0.43,0,RO,MD
0.001,0.001,0.001,0,HU,BG
0.001,0.001,0.001,0,MK,BG
0.43,0.43,0.43,0,RO,BG
0.001,0.001,0.001,0,TR,BG
0.43,0.43,0.43,0,GR,BG
0.001,0.001,0.001,0,TR,RO
0.001,0.001,0.001,0,HU,RO
0.776,0.776,0.776,0,AT,GR
0.001,0.001,0.001,0,UK,CY
0.001,0.001,0.001,0,LT,IL
0.001,0.001,0.001,0,HR,ME
0.001,0.001,0.001,0,RS,HU
0.001,0.001,0.001,0,HR,HU
0.001,0.001,0.001,0,SK,HU
0.001,0.001,0.001,0,AT,SK
0.001,0.001,0.001,0,ES,PT
0.001,0.001,0.001,0,UK,PT
0.001,0.001,0.001,0,SL,HR
0.001,0.001,0.001,0,AT,SL
0.001,0.001,0.001,0,LV,LT
0.306,0.306,0.001,0,UK,IS
0.306,0.306,0.001,0,UK,IE
0.001,0.001,0.001,0,SE,NO
0.001,0.001,0.001,0,FI,SE
0.001,0.001,0.001,0,LV,EE
0.435,0.435,0.74,1,BE,NL
0.001,0.001,0.306,1,DK,NL
0.8280000000000001,0.8280000000000001,0.8280000000000001,1,DE,NL
0.394,0.394,0.394,1,UK,NL
0.001,0.001,0.001,1,LT,NL
0.001,0.001,0.306,1,IE,BE
0.306,0.306,0.001,1,IS,DK
0.001,0.001,0.001,1,NO,DK
0.97,0.97,0.97,1,DE,DK
0.001,0.001,0.001,1,EE,DK
0.602,0.602,0.602,1,SE,DK
0.001,0.001,0.001,1,RU,DK
0.001,0.001,0.001,1,UA,PL
0.394,0.394,0.394,1,BY,PL
0.745,0.745,0.745,1,DE,PL
0.001,0.001,0.001,1,CZ,PL
0.001,0.001,0.001,1,LT,PL
1.006,1.006,1.5859999999999999,1,CZ,DE
1.081,1.081,1.081,1,LU,DE
0.369,0.369,1.0819999999999999,1,CH,DE
0.001,0.001,0.001,1,CY,DE
0.616,0.616,0.616,1,IL,DE
2.743,2.743,1.45,1,AT,DE
0.285,0.285,0.285,1,RU,DE
0.001,0.001,0.581,1,SK,CZ
0.001,0.001,0.001,1,FR,LU
0.349,0.349,0.349,1,CH,FR
0.001,0.001,0.001,1,ES,FR
0.349,0.349,0.349,1,UK,FR
0.001,0.001,0.714,1,IT,CH
0.001,0.001,0.001,1,ES,CH
0.001,0.001,0.001,1,ES,IT
0.371,0.371,0.371,1,MT,IT
0.714,0.714,0.001,1,AT,IT
0.001,0.001,0.001,1,GR,IT
0.43,0.43,0.43,1,RO,MD
0.001,0.001,0.001,1,HU,BG
0.001,0.001,0.001,1,MK,BG
0.43,0.43,0.43,1,RO,BG
0.001,0.001,0.001,1,TR,BG
0.7809999999999999,0.7809999999999999,0.7809999999999999,1,GR,BG
0.001,0.001,0.001,1,TR,RO
0.001,0.001,0.001,1,HU,RO
1.127,1.127,1.127,1,AT,GR
0.001,0.001,0.001,1,UK,CY
0.001,0.001,0.001,1,LT,IL
0.001,0.001,0.001,1,HR,ME
0.001,0.001,0.001,1,RS,HU
0.001,0.001,0.001,1,HR,HU
0.285,0.285,0.285,1,SK,HU
0.581,0.581,0.001,1,AT,SK
0.001,0.001,0.001,1,ES,PT
0.328,0.328,0.328,1,UK,PT
0.001,0.001,0.001,1,SL,HR
0.324,0.324,0.324,1,AT,SL
