Cultural,Genético,SPF,destino,origem
0.603,1.204,0.687,CMBR,NY54
2.6020000000000003,3.3100000000000005,2.5069999999999997,CHCG,NY54
0.22199999999999998,0.0,0.401,PHLA,NY54
0.945,1.6820000000000004,0.945,WASH,NY54
1.129,0.528,1.045,PHLA,CMBR
0.834,1.029,0.624,CLEV,CHCG
1.9629999999999999,1.6170000000000002,1.9399999999999997,PHLA,CHCG
1.713,4.619000000000001,1.881,STLS,CHCG
1.3980000000000001,0.7959999999999999,1.3510000000000002,DNVR,CHCG
0.6399999999999999,0.709,0.6399999999999999,KSCY,CHCG
1.9380000000000002,1.778,1.8049999999999997,SNFN,CHCG
1.0919999999999999,1.234,0.8769999999999999,STTL,CHCG
1.824,1.25,1.871,SLKC,CHCG
1.445,1.7630000000000001,1.5629999999999997,NSVL,CLEV
1.337,0.373,1.009,STLS,CLEV
1.463,0.622,1.463,PHLA,CLEV
1.5490000000000002,1.6580000000000001,1.5490000000000002,ATLN,RLGH
0.537,0.428,0.537,WASH,RLGH
0.786,1.1560000000000001,0.9040000000000001,WASH,ATLN
0.229,0.098,0.098,NSVL,ATLN
0.9239999999999999,1.7910000000000001,1.1270000000000002,STLS,ATLN
2.0260000000000002,2.5229999999999997,2.072,DLLS,ATLN
0.514,1.0699999999999998,0.514,ORLD,ATLN
0.652,0.288,0.7699999999999999,WASH,PHLA
0.44300000000000006,0.215,0.376,STLS,NSVL
1.0740000000000003,1.0150000000000001,1.1280000000000001,DLLS,NSVL
0.8889999999999999,1.542,0.653,DLLS,STLS
0.76,0.6849999999999999,0.76,KSCY,STLS
1.411,2.382,1.6230000000000002,LA03,STLS
0.192,0.087,0.087,HSTN,NWOR
1.7610000000000001,1.254,1.6560000000000001,DLLS,NWOR
0.40199999999999997,0.0,0.40199999999999997,ORLD,NWOR
0.44599999999999995,0.44599999999999995,0.44599999999999995,SNAN,HSTN
1.6550000000000002,1.6059999999999999,1.7600000000000002,DLLS,HSTN
0.44399999999999995,0.092,0.44399999999999995,ORLD,HSTN
0.592,0.8439999999999999,0.45199999999999996,PHNX,SNAN
1.4540000000000002,1.7060000000000004,1.314,DLLS,SNAN
1.049,0.547,1.2940000000000003,DNVR,DLLS
0.38699999999999996,0.0,0.38699999999999996,KSCY,DLLS
2.048,1.4229999999999996,1.803,SNFN,DLLS
0.803,0.472,0.807,LA03,DLLS
0.20800000000000002,0.0,0.20800000000000002,KSCY,DNVR
0.22899999999999998,0.153,0.47400000000000003,SNFN,DNVR
0.618,0.234,0.571,SLKC,DNVR
0.447,0.236,0.447,SNFN,KSCY
1.2720000000000002,2.1750000000000003,1.4850000000000003,SCRM,SNFN
1.3649999999999998,1.537,1.2729999999999997,PTLD,SNFN
0.715,0.40099999999999997,1.022,STTL,SNFN
0.323,0.21300000000000002,0.316,SLKC,SNFN
1.575,1.124,1.499,LA03,SNFN
1.047,0.144,0.834,SLKC,SCRM
0.172,0.0,0.264,STTL,PTLD
0.722,0.129,0.722,LA03,SLKC
1.5830000000000004,1.6450000000000005,1.6260000000000003,SNDG,LA03
1.3950000000000002,1.081,1.492,PHNX,LA03
0.16499999999999998,0.103,0.378,PHNX,SNDG
