Fitness Cultural,Fitness Genético,Fitness SPF
0.329868999443479,0.4214063553515888,0.28888321476696444
0.3937938095613136,0.36974044220956886,0.3300656830709311
0.1972974073847783,0.19139524043255327,0.14461859062652271
0.08405480373203329,0.07726960136612655,0.09202468101944943
0.053386058093158495,0.05473968410787778,0.05308959614316072
0.052291674187109054,0.05231697980488636,0.04665353444919558
0.04853143866596781,0.046918619654209764,0.04318162190171862
0.03447990511130113,0.035305747775737896,0.029560174168546203
0.052213986729057325,0.05594560066355092,0.04599158828686229
0.032634339125419715,0.03432024709692226,0.03418637529582243
0.02097102615966392,0.02068509501781804,0.022029494152714924
0.0358309716677572,0.03430488644888929,0.029947906100369154
0.051440418844483915,0.04970706105638568,0.04667648027116928
0.035169782123199746,0.034151022652373325,0.030900725240021385
0.012723035844403673,0.012383832906141033,0.011097529763261588
0.018194339195246184,0.018459397171466572,0.02476850733828951
0.053162659474044666,0.053671117416217,0.03185251504633179
0.04293455167741138,0.04267829425320935,0.039075528458707376
0.036796075496763336,0.036428065968172205,0.04861694209471271
0.023909916996723145,0.02393065852386126,0.028647508168120762
